document_id,title,category,content,popularity
DOC_00013,Giới thiệu về lập trình Java web,Lập Trình Cơ Sở,Giới thiệu về lập trình Java web,0.0
DOC_00014,Giới thiệu về quản trị tài chính và khách sạn chương 1,Quản Trị Tài Chính Khách Sạn,Giới thiệu về quản trị tài chính và khách sạn chương 1,0.0
DOC_00015,Giới thiệu về quản trị tài chính và khách sạn chương 4,Quản Trị Tài Chính Khách Sạn,Giới thiệu về quản trị tài chính và khách sạn chương 4,0.0
DOC_00016,Giới thiệu về quản trị tài chính và khách sạn chương 5,Quản Trị Tài Chính Khách Sạn,Giới thiệu về quản trị tài chính và khách sạn chương 5,0.0
DOC_00017,Giới thiệu về quản trị tài chính và khách sạn chương 6,Quản Trị Tài Chính Khách Sạn,Giới thiệu về quản trị tài chính và khách sạn chương 6,0.0
DOC_00018,Giới thiệu về quản trị tài chính và khách sạn chương 7,Quản Trị Tài Chính Khách Sạn,Giới thiệu về quản trị tài chính và khách sạn chương 7,0.0
DOC_00019,Giới thiệu về cấu trúc tĩnh xác định 1,Kết Cấu & Tính Toán Động Cơ Đốt Trong,Giới thiệu về cấu trúc tĩnh xác định 1,0.0
DOC_00021,Giới thiệu về cấu trúc tĩnh xác định 3,Kết Cấu & Tính Toán Động Cơ Đốt Trong,Giới thiệu về cấu trúc tĩnh xác định 3,0.0
DOC_00022,Giới thiệu về cấu trúc tĩnh xác định 4,Kết Cấu & Tính Toán Động Cơ Đốt Trong,Giới thiệu về cấu trúc tĩnh xác định 4,0.0
DOC_00023,Giới thiệu về cấu trúc tĩnh xác định 5,Kết Cấu & Tính Toán Động Cơ Đốt Trong,Giới thiệu về cấu trúc tĩnh xác định 5,0.0
DOC_00024,Giới thiệu về cấu trúc tĩnh xác định 6,Kết Cấu & Tính Toán Động Cơ Đốt Trong,Giới thiệu về cấu trúc tĩnh xác định 6,0.0
DOC_00025,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước,Thí Nghiệm Vật Liệu Xây Dựng,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước,0.0
DOC_00026,Giới thiệu về hệ thống thông tin quản lý trong doanh nghiệp,Phân Tích & Thiết Kế Hệ Thống,Giới thiệu về hệ thống thông tin quản lý trong doanh nghiệp,0.0
DOC_00027,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 2,Thí Nghiệm Vật Liệu Xây Dựng,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 2,0.0
DOC_00028,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 3,Thí Nghiệm Vật Liệu Xây Dựng,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 3,0.0
DOC_00029,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 4,Thí Nghiệm Vật Liệu Xây Dựng,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 4,0.0
DOC_00030,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 5,Thí Nghiệm Vật Liệu Xây Dựng,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 5,0.0
DOC_00031,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 6,Thí Nghiệm Vật Liệu Xây Dựng,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 6,0.0
DOC_00032,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 7,Thí Nghiệm Vật Liệu Xây Dựng,Giới thiệu về kiến thức cơ bản của hệ thống cấp nước 7,0.0
DOC_00033,Giới thiệu kiến thức cơ bản về vật lý kiến trúc,Vật Lý Đại Cương CSU 1,Giới thiệu kiến thức cơ bản về vật lý kiến trúc,0.0
DOC_00034,Giới thiệu kiến thức cơ bản về động lực học,Nguyên Lý Động Cơ Đốt Trong,Giới thiệu kiến thức cơ bản về động lực học,0.0
DOC_00035,Giới thiệu kiến thức cơ bản về tế bào học,Sinh Học Tế Bào,Giới thiệu kiến thức cơ bản về tế bào học,0.0
DOC_00037,Giới thiệu kiến thức cơ bản về BigData,"Hệ Phân Tán (J2EE, .NET)",Giới thiệu kiến thức cơ bản về BigData,0.0
DOC_00038,Giới thiệu kiến thức cơ bản về Phân tích thiết kế hệ thống,Phân Tích & Thiết Kế Hệ Thống,Giới thiệu kiến thức cơ bản về Phân tích thiết kế hệ thống,0.0
DOC_00040,tài liệu ôn tập quản lý kinh doanh,Phân Tích Hoạt Động Kinh Doanh,tài liệu ôn tập quản lý kinh doanh,0.0
DOC_00064,Bai So 1,Đồ Án Cơ Sở 1,Bai So 1,0.0
DOC_00068,Lịch Sử Văn Minh Thế Giới 1_Slide 1,Lịch Sử Văn Minh Thế Giới 1,Lịch Sử Văn Minh Thế Giới 1_Slide 1,0.0
DOC_00069,NGÂN HÀNG CÂU HỎI - TỔNG QUAN HÀNH VI TỔ CHỨC,Tổng Quan Hành Vi Tổ Chức,NGÂN HÀNG CÂU HỎI - TỔNG QUAN HÀNH VI TỔ CHỨC,0.0
